impl,M,K,N,iters,wall_s,gflop,gflops,cpu_w,pcluster_w,ecluster_w,cpu_j,j_per_gflop,samples
sme-4x1,1024,1024,1024,1734,3.0008,3723.7366,1240.90,8.8042,0,0,26.4197,0.007095,28
sme-1x4sym,1024,1024,1024,1766,3.0008,3792.4561,1263.80,8.8768,0,0,26.6375,0.007024,28
sme-1x4acc,1024,1024,1024,2367,3.0004,5083.0938,1694.15,9.9634,0,0,29.8943,0.005881,28
sme-1x4acckc,1024,1024,1024,2370,3.0003,5089.5362,1696.37,9.8689,0,0,29.6096,0.005818,28
kleidiai-fullpack,1024,1024,1024,2237,3.0012,4803.9209,1600.68,9.4794,0,0,28.4496,0.005922,28
kleidiai-panel,1024,1024,1024,2325,3.0005,4992.8995,1664.00,9.6293,0,0,28.8926,0.005787,28
accelerate,1024,1024,1024,2209,3.0005,4743.7914,1580.99,9.5342,0,0,28.6073,0.006030,28
sme-4x1,2048,2048,2048,219,3.0122,3762.3914,1249.05,8.6873,0,0,26.1679,0.006955,28
sme-1x4sym,2048,2048,2048,200,3.0029,3435.9738,1144.23,8.2386,0,0,24.7396,0.007200,28
sme-1x4acc,2048,2048,2048,245,3.0050,4209.0680,1400.71,9.5210,0,0,28.6105,0.006797,28
sme-1x4acckc,2048,2048,2048,256,3.0036,4398.0465,1464.26,9.6139,0,0,28.8763,0.006566,28
kleidiai-fullpack,2048,2048,2048,267,3.0106,4587.0251,1523.62,9.1419,0,0,27.5227,0.006000,28
kleidiai-panel,2048,2048,2048,265,3.0104,4552.6653,1512.33,9.0981,0,0,27.3889,0.006016,32
accelerate,2048,2048,2048,280,3.0066,4810.3634,1599.95,9.4078,0,0,28.2854,0.005880,28
sme-4x1,4096,4096,4096,26,3.0245,3573.4128,1181.48,8.6881,0,0,26.2771,0.007354,32
sme-1x4sym,4096,4096,4096,30,3.0517,4123.1686,1351.11,9.1117,0,0,27.8061,0.006744,32
sme-1x4acc,4096,4096,4096,27,3.0166,3710.8517,1230.16,8.5079,0,0,25.6649,0.006916,32
sme-1x4acckc,4096,4096,4096,28,3.0922,3848.2907,1244.52,8.5783,0,0,26.5259,0.006893,32
kleidiai-fullpack,4096,4096,4096,35,3.0867,4810.3634,1558.44,9.0902,0,0,28.0586,0.005833,32
kleidiai-panel,4096,4096,4096,33,3.0464,4535.4855,1488.79,8.4295,0,0,25.6795,0.005662,61
accelerate,4096,4096,4096,34,3.0168,4672.9244,1548.97,9.3943,0,0,28.3408,0.006065,31
sme-4x1,128,32768,512,607,3.0036,2607.0451,867.97,7.2387,0,0,21.7421,0.008340,28
sme-1x4sym,128,32768,512,608,3.0032,2611.3401,869.53,7.2513,0,0,21.7772,0.008339,28
sme-1x4acc,128,32768,512,512,3.0016,2199.0233,732.61,6.5701,0,0,19.7207,0.008968,28
sme-1x4acckc,128,32768,512,504,3.0037,2164.6635,720.66,6.5395,0,0,19.6426,0.009074,28
kleidiai-fullpack,128,32768,512,362,3.0062,1554.7782,517.18,5.5846,0,0,16.7885,0.010798,28
kleidiai-panel,128,32768,512,742,3.0009,3186.8657,1061.98,8.2471,0,0,24.7486,0.007766,30
accelerate,128,32768,512,791,3.0028,3397.3191,1131.37,8.9994,0,0,27.0235,0.007954,28
