experiment,category,mode,M,N,K,implementation,variant,median_ms,mean_ms,min_ms,stddev_ms,reps,ns_per_invocation,gflops,packing_ms,compute_ms,max_abs_error,relative_error,max_abs_error_vs_fp64,status
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1","64x16 tile",1.884000,1.890480,1.877666,0.017010,159,486.822,538.481,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1 [iso]","64x16, smstart/call",1.886875,1.908825,1.877750,0.074849,159,487.565,537.660,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"SME 2x2","32x32 tile",1.833250,1.840506,1.824083,0.024597,165,487.437,537.801,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"SME 2x2 [iso]","32x32, smstart/call",1.832333,1.838921,1.825041,0.017917,164,487.193,538.070,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4","16x64 tile",1.770875,1.774012,1.767750,0.010675,170,485.837,539.572,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4 [iso]","16x64, smstart/call",1.796584,1.801309,1.796000,0.024828,167,492.890,531.851,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4sym","16x64 tile",1.905583,1.910612,1.876417,0.027737,158,492.526,532.244,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4sym [iso]","16x64, smstart/call",1.906583,1.906971,1.877375,0.023777,158,492.784,531.965,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1ZP","64x16 tile",1.871334,1.879567,1.869458,0.023218,160,485.430,540.024,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1ZP [iso]","64x16, smstart/call",1.872917,1.880879,1.870459,0.016468,160,485.841,539.567,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc","16x64 tile",1.619375,1.636240,1.610833,0.041907,185,182.362,1437.492,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc [iso]","16x64, smstart/call",1.620917,1.626373,1.613833,0.017919,186,182.536,1436.125,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc [amort]","16x64, zero+store amort",1.159625,1.160931,1.155084,0.005647,201,130.588,2007.406,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc","16x64 tile",1.661000,1.666567,1.653791,0.025795,181,182.187,1438.872,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc [iso]","16x64, smstart/call",1.664042,1.666781,1.656875,0.012817,181,182.521,1436.242,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc [amort]","16x64, zero+store amort",1.190500,1.193167,1.185917,0.010440,201,130.580,2007.532,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"KAI 2VL","32x32 tile",1.623334,1.622819,1.602583,0.014958,187,192.338,1362.933,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,16,128,"KAI 8VS","16x16 tile",1.491250,1.499820,1.479166,0.026983,201,71.847,912.164,NA,NA,3.337860e-06,2.031063e-07,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1","64x16 tile",1.907125,1.924501,1.894667,0.050356,158,619.398,846.448,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1 [iso]","64x16, smstart/call",1.904125,1.912879,1.894583,0.025727,157,618.423,847.782,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,256,"SME 2x2","32x32 tile",1.814417,1.822060,1.805292,0.019805,164,618.200,848.088,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,256,"SME 2x2 [iso]","32x32, smstart/call",1.814542,1.827990,1.806000,0.067591,166,618.243,848.030,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4","16x64 tile",1.919875,1.921374,1.912875,0.007240,156,617.323,849.293,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4 [iso]","16x64, smstart/call",1.920667,1.923290,1.913667,0.010119,157,617.578,848.942,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4sym","16x64 tile",1.704333,1.706663,1.699416,0.008571,177,616.841,849.956,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4sym [iso]","16x64, smstart/call",1.706209,1.710278,1.700166,0.013380,177,617.520,849.021,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1ZP","64x16 tile",1.857833,1.866007,1.849833,0.021113,162,618.042,848.305,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1ZP [iso]","64x16, smstart/call",1.857958,1.865631,1.849542,0.018657,162,618.083,848.248,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4Acc","16x64 tile",1.710417,1.718100,1.702917,0.020758,173,312.862,1675.780,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4Acc [iso]","16x64, smstart/call",1.711792,1.713365,1.704667,0.008962,175,313.114,1674.434,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
