group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1410.38,0.18,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,Accelerate,1789.57,0.00,,,
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1664.72,0.03,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,Accelerate,1779.19,0.03,,,
square,512,512,512,OpenBLAS,1631.41,0.05,,,
square,1024,1024,1024,MaxMulSK,1757.47,0.21,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,Accelerate,1686.75,0.02,,,
square,1024,1024,1024,OpenBLAS,1564.94,0.60,,,
square,2048,2048,2048,MaxMulSK,1586.10,0.62,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,Accelerate,1679.38,0.55,,,
square,2048,2048,2048,OpenBLAS,1305.21,0.38,,,
square,4096,4096,4096,MaxMulSK,1427.48,0.33,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,Accelerate,1603.12,0.13,,,
square,4096,4096,4096,OpenBLAS,1239.74,0.10,,,
llm,64,8192,512,MaxMulSK,893.36,0.25,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,Accelerate,959.70,0.25,,,
llm,64,8192,512,OpenBLAS,659.95,0.19,,,
llm,64,16384,512,MaxMulSK,801.70,0.03,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,Accelerate,854.01,0.14,,,
llm,64,16384,512,OpenBLAS,455.63,3.42,,,
llm,64,32768,512,MaxMulSK,793.31,0.56,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,Accelerate,853.79,0.27,,,
llm,64,32768,512,OpenBLAS,477.78,0.75,,,
llm,128,8192,512,MaxMulSK,1051.53,0.81,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,Accelerate,1175.36,0.64,,,
llm,128,8192,512,OpenBLAS,625.55,0.73,,,
llm,128,16384,512,MaxMulSK,1021.71,0.18,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,Accelerate,1103.02,1.75,,,
llm,128,16384,512,OpenBLAS,472.62,0.74,,,
llm,128,32768,512,MaxMulSK,1026.92,0.27,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,Accelerate,1121.37,0.80,,,
llm,128,32768,512,OpenBLAS,459.38,5.36,,,
