group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1390.86,13.65,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,Accelerate,947.41,24.94,,,
square,256,256,256,OpenBLAS,778.07,22.90,,,
square,512,512,512,MaxMulSK,1634.73,86.98,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,Accelerate,1774.29,0.22,,,
square,512,512,512,OpenBLAS,1622.17,1.03,,,
square,1024,1024,1024,MaxMulSK,1684.96,2.99,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,Accelerate,1686.59,0.74,,,
square,1024,1024,1024,OpenBLAS,1552.75,1.21,,,
square,2048,2048,2048,MaxMulSK,1594.17,3.89,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,Accelerate,1615.71,2.89,,,
square,2048,2048,2048,OpenBLAS,1300.85,0.22,,,
square,4096,4096,4096,MaxMulSK,1565.57,0.51,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,Accelerate,1584.54,0.34,,,
square,4096,4096,4096,OpenBLAS,1244.09,0.15,,,
llm,64,8192,512,MaxMulSK,897.40,0.22,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,Accelerate,956.63,0.49,,,
llm,64,8192,512,OpenBLAS,610.72,5.40,,,
llm,64,16384,512,MaxMulSK,782.92,1.11,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,Accelerate,848.57,0.59,,,
llm,64,16384,512,OpenBLAS,460.73,1.66,,,
llm,64,32768,512,MaxMulSK,782.48,0.85,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,Accelerate,837.84,2.80,,,
llm,64,32768,512,OpenBLAS,445.92,3.26,,,
llm,128,8192,512,MaxMulSK,1059.46,3.21,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,Accelerate,1186.95,0.42,,,
llm,128,8192,512,OpenBLAS,617.52,3.39,,,
llm,128,16384,512,MaxMulSK,1016.56,0.18,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,Accelerate,1130.80,0.05,,,
llm,128,16384,512,OpenBLAS,459.25,0.40,,,
llm,128,32768,512,MaxMulSK,1024.72,0.18,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,Accelerate,1129.96,2.90,,,
llm,128,32768,512,OpenBLAS,447.54,8.19,,,
