experiment,category,mode,M,N,K,implementation,variant,median_ms,mean_ms,min_ms,stddev_ms,reps,ns_per_invocation,gflops,packing_ms,compute_ms,max_abs_error,relative_error,max_abs_error_vs_fp64,status,spread_pct,n_runs
hot_microkernel,hot,hot_microkernel,64,16,128,SME 4x1,64x16 tile,1.668000,1.668632,1.655792,0.010478,175,488.576000,536.547000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.71,3
hot_microkernel,hot,hot_microkernel,64,16,128,SME 4x1 [iso],"64x16, smstart/call",1.668917,1.686685,1.656750,0.009374,181,488.845000,536.252000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.52,3
hot_microkernel,hot,hot_microkernel,32,32,128,SME 2x2,32x32 tile,1.803375,1.805201,1.791125,0.011080,162,488.323000,536.826000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.39,3
hot_microkernel,hot,hot_microkernel,32,32,128,SME 2x2 [iso],"32x32, smstart/call",1.801750,1.806267,1.792000,0.016663,167,487.882000,537.310000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.43,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4,16x64 tile,1.877416,1.878480,1.864833,0.010757,154,488.074000,537.099000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.26,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4 [iso],"16x64, smstart/call",1.871167,1.873745,1.865791,0.008259,154,486.649000,538.671000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.22,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4sym,16x64 tile,1.744375,1.763036,1.740541,0.013735,173,485.475000,539.975000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.13,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4sym [iso],"16x64, smstart/call",1.744917,1.747489,1.741416,0.007389,174,485.679000,539.748000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.11,3
hot_microkernel,hot,hot_microkernel,64,16,128,SME 4x1ZP,64x16 tile,1.740271,1.742741,1.738667,0.006301,170,485.431000,540.023000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.10,3
hot_microkernel,hot,hot_microkernel,64,16,128,SME 4x1ZP [iso],"64x16, smstart/call",1.746375,1.746430,1.739416,0.009039,173,485.805000,539.608000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.63,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4Acc,16x64 tile,1.599458,1.602203,1.596750,0.008182,188,181.576000,1443.712000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.36,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4Acc [iso],"16x64, smstart/call",1.602416,1.604270,1.599791,0.007023,188,181.917000,1441.007000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.36,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4Acc [amort],"16x64, zero+store amort",1.151125,1.152660,1.145125,0.007368,201,130.765000,2004.694000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,4.43,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4AccKc,16x64 tile,1.655938,1.659014,1.649083,0.009551,182,182.191000,1438.839000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.04,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4AccKc [iso],"16x64, smstart/call",1.658041,1.661785,1.651833,0.011442,182,182.423000,1437.013000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.07,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4AccKc [amort],"16x64, zero+store amort",1.188375,1.190360,1.182292,0.007435,201,130.749000,2004.945000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,7.73,3
hot_microkernel,hot,hot_microkernel,32,32,128,KAI 2VL,32x32 tile,1.568625,1.570761,1.560875,0.014439,160,191.607000,1368.133000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,2.20,3
hot_microkernel,hot,hot_microkernel,16,16,128,KAI 8VS,16x16 tile,1.788292,1.816936,1.770709,0.094884,160,114.100000,574.372000,NA,NA,3.337860e-06,2.031063e-07,0.000000e+00,PASS,12.62,3
hot_microkernel,hot,hot_microkernel,64,16,256,SME 4x1,64x16 tile,1.913771,1.916726,1.906917,0.008870,158,617.763000,848.689000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.38,3
hot_microkernel,hot,hot_microkernel,64,16,256,SME 4x1 [iso],"64x16, smstart/call",1.916042,1.919300,1.908375,0.009616,155,618.078000,848.255000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.32,3
hot_microkernel,hot,hot_microkernel,32,32,256,SME 2x2,32x32 tile,1.806709,1.809502,1.799791,0.009399,167,617.482000,849.074000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.26,3
hot_microkernel,hot,hot_microkernel,32,32,256,SME 2x2 [iso],"32x32, smstart/call",1.807500,1.811246,1.800583,0.009169,167,617.740000,848.720000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.26,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4,16x64 tile,1.870416,1.874371,1.861667,0.013577,154,617.911000,848.485000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.23,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4 [iso],"16x64, smstart/call",1.869625,1.871907,1.862500,0.009096,156,617.649000,848.844000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.30,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4sym,16x64 tile,1.802166,1.804098,1.796250,0.008454,166,617.475000,849.084000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.31,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4sym [iso],"16x64, smstart/call",1.805667,1.809575,1.795375,0.010633,167,618.403000,847.810000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.46,3
hot_microkernel,hot,hot_microkernel,64,16,256,SME 4x1ZP,64x16 tile,1.808958,1.810346,1.796500,0.008520,166,617.935000,848.451000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.29,3
hot_microkernel,hot,hot_microkernel,64,16,256,SME 4x1ZP [iso],"64x16, smstart/call",1.809667,1.811588,1.797458,0.009614,167,617.718000,848.750000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.30,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4Acc,16x64 tile,1.693021,1.695591,1.684834,0.008299,155,312.851000,1675.837000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.09,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4Acc [iso],"16x64, smstart/call",1.728959,1.750694,1.686750,0.011001,155,313.187000,1674.042000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,2.06,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4Acc [amort],"16x64, zero+store amort",1.478500,1.481296,1.407250,0.010355,186,261.535000,2004.656000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,4.40,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4AccKc,16x64 tile,1.631833,1.634216,1.624666,0.009926,185,312.851000,1675.837000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.21,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4AccKc [iso],"16x64, smstart/call",1.633542,1.635743,1.627333,0.008481,184,313.184000,1674.056000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.50,3
hot_microkernel,hot,hot_microkernel,16,64,256,SME 1x4AccKc [amort],"16x64, zero+store amort",1.361708,1.363563,1.357000,0.018314,201,261.515000,2004.811000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,8.01,3
