group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1412.82,0.17,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1665.57,0.00,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1628.53,0.10,,,
square,1024,1024,1024,MaxMulSK,1758.64,1.09,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1549.27,1.67,,,
square,2048,2048,2048,MaxMulSK,1608.13,5.36,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,1308.13,0.10,,,
square,4096,4096,4096,MaxMulSK,1633.86,0.49,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,OpenBLAS,1241.76,0.31,,,
llm,64,8192,512,MaxMulSK,880.00,0.87,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,625.74,5.38,,,
llm,64,16384,512,MaxMulSK,797.06,0.52,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,466.24,0.28,,,
llm,64,32768,512,MaxMulSK,792.46,0.73,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,484.45,1.91,,,
llm,128,8192,512,MaxMulSK,1039.17,0.93,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,595.89,2.34,,,
llm,128,16384,512,MaxMulSK,1004.36,0.10,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,469.41,0.99,,,
llm,128,32768,512,MaxMulSK,1002.67,0.39,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,485.82,0.25,,,
