group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1407.90,1.57,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1322.34,0.17,,,
square,512,512,512,MaxMulSK,1533.92,2.10,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1519.44,0.26,,,
square,1024,1024,1024,MaxMulSK,1622.12,3.63,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1391.27,4.01,,,
square,2048,2048,2048,MaxMulSK,1500.61,3.36,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,627.76,1.42,,,
square,4096,4096,4096,MaxMulSK,1565.32,1.42,2048/512/4096/swap,3.700256e-04,1.194000e-06
square,4096,4096,4096,OpenBLAS,113.30,1.17,,,
llm,64,8192,512,MaxMulSK,875.27,1.05,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,641.71,3.52,,,
llm,64,16384,512,MaxMulSK,799.31,0.08,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,468.64,1.41,,,
llm,64,32768,512,MaxMulSK,799.42,0.18,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,475.85,0.61,,,
llm,128,8192,512,MaxMulSK,1052.95,2.26,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,566.83,2.72,,,
llm,128,16384,512,MaxMulSK,1015.60,0.33,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,441.83,8.67,,,
llm,128,32768,512,MaxMulSK,986.19,4.59,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,480.87,1.50,,,
