group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1410.32,0.18,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1665.15,0.00,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1621.97,0.03,,,
square,1024,1024,1024,MaxMulSK,1745.68,0.86,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1536.39,0.54,,,
square,2048,2048,2048,MaxMulSK,1559.73,2.26,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,1296.41,1.48,,,
square,4096,4096,4096,MaxMulSK,1496.39,1.07,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,OpenBLAS,1240.49,0.48,,,
llm,64,8192,512,MaxMulSK,887.94,0.27,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,612.75,4.92,,,
llm,64,16384,512,MaxMulSK,788.77,1.10,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,473.46,0.04,,,
llm,64,32768,512,MaxMulSK,792.51,0.39,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,479.34,0.75,,,
llm,128,8192,512,MaxMulSK,1055.92,0.20,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,627.71,0.10,,,
llm,128,16384,512,MaxMulSK,1012.27,2.11,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,459.97,0.98,,,
llm,128,32768,512,MaxMulSK,1005.13,0.78,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,482.04,1.32,,,
