group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1395.72,0.35,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,Accelerate,1681.25,23.17,,,
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1657.44,0.08,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,Accelerate,1777.22,0.17,,,
square,512,512,512,OpenBLAS,1626.06,0.08,,,
square,1024,1024,1024,MaxMulSK,1765.81,1.03,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,Accelerate,1686.42,0.53,,,
square,1024,1024,1024,OpenBLAS,1537.01,0.97,,,
square,2048,2048,2048,MaxMulSK,1613.22,0.73,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,Accelerate,1603.64,1.11,,,
square,2048,2048,2048,OpenBLAS,1307.01,0.18,,,
square,4096,4096,4096,MaxMulSK,1619.89,7.07,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,Accelerate,1582.47,14.87,,,
square,4096,4096,4096,OpenBLAS,1230.77,2.14,,,
llm,64,8192,512,MaxMulSK,915.84,10.58,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,Accelerate,924.51,7.66,,,
llm,64,8192,512,OpenBLAS,664.79,6.92,,,
llm,64,16384,512,MaxMulSK,813.47,0.28,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,Accelerate,856.97,0.05,,,
llm,64,16384,512,OpenBLAS,475.21,0.12,,,
llm,64,32768,512,MaxMulSK,810.96,0.12,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,Accelerate,858.66,0.04,,,
llm,64,32768,512,OpenBLAS,480.30,0.57,,,
llm,128,8192,512,MaxMulSK,1111.20,0.05,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,Accelerate,1195.93,0.40,,,
llm,128,8192,512,OpenBLAS,621.03,0.43,,,
llm,128,16384,512,MaxMulSK,1044.58,0.47,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,Accelerate,1132.22,1.00,,,
llm,128,16384,512,OpenBLAS,472.40,0.07,,,
llm,128,32768,512,MaxMulSK,1053.48,0.32,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,Accelerate,1125.31,0.35,,,
llm,128,32768,512,OpenBLAS,487.46,0.21,,,
