group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1393.28,0.35,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,Accelerate,1677.72,5.63,,,
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1655.31,0.18,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,Accelerate,1776.25,0.08,,,
square,512,512,512,OpenBLAS,1641.39,0.00,,,
square,1024,1024,1024,MaxMulSK,1783.78,0.56,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,Accelerate,1690.27,0.14,,,
square,1024,1024,1024,OpenBLAS,1546.37,1.61,,,
square,2048,2048,2048,MaxMulSK,1622.49,0.08,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,Accelerate,1667.54,2.17,,,
square,2048,2048,2048,OpenBLAS,1311.16,0.24,,,
square,4096,4096,4096,MaxMulSK,1638.17,0.20,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,Accelerate,1598.31,0.09,,,
square,4096,4096,4096,OpenBLAS,1246.35,0.05,,,
llm,64,8192,512,MaxMulSK,919.89,0.44,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,Accelerate,964.29,0.19,,,
llm,64,8192,512,OpenBLAS,680.80,1.33,,,
llm,64,16384,512,MaxMulSK,811.16,0.14,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,Accelerate,857.14,0.16,,,
llm,64,16384,512,OpenBLAS,476.33,0.22,,,
llm,64,32768,512,MaxMulSK,810.94,0.22,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,Accelerate,857.51,0.06,,,
llm,64,32768,512,OpenBLAS,482.19,0.45,,,
llm,128,8192,512,MaxMulSK,1111.97,2.87,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,Accelerate,1161.22,0.91,,,
llm,128,8192,512,OpenBLAS,625.37,8.89,,,
llm,128,16384,512,MaxMulSK,1046.96,0.12,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,Accelerate,1115.59,1.48,,,
llm,128,16384,512,OpenBLAS,468.45,0.79,,,
llm,128,32768,512,MaxMulSK,1052.94,0.11,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,Accelerate,1126.67,1.15,,,
llm,128,32768,512,OpenBLAS,491.12,0.30,,,
