group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1393.28,0.17,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1331.10,0.00,,,
square,512,512,512,MaxMulSK,1654.46,0.26,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1558.41,2.42,,,
square,1024,1024,1024,MaxMulSK,1680.68,0.55,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1474.81,2.13,,,
square,2048,2048,2048,MaxMulSK,1590.53,1.31,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,625.42,0.14,,,
square,4096,4096,4096,MaxMulSK,1611.68,1.19,2048/512/4096/swap,3.700256e-04,1.194000e-06
square,4096,4096,4096,OpenBLAS,113.92,0.15,,,
llm,64,8192,512,MaxMulSK,888.37,0.41,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,649.72,1.96,,,
llm,64,16384,512,MaxMulSK,806.36,0.03,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,474.91,0.49,,,
llm,64,32768,512,MaxMulSK,805.97,0.15,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,480.30,0.34,,,
llm,128,8192,512,MaxMulSK,1073.41,0.55,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,607.89,0.14,,,
llm,128,16384,512,MaxMulSK,1036.81,0.21,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,465.09,0.45,,,
llm,128,32768,512,MaxMulSK,1028.02,0.63,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,485.52,1.10,,,
