experiment,category,mode,M,N,K,implementation,variant,median_ms,mean_ms,min_ms,stddev_ms,reps,ns_per_invocation,gflops,packing_ms,compute_ms,max_abs_error,relative_error,max_abs_error_vs_fp64,status
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1","64x16 tile",1.867667,1.883369,1.854667,0.110498,161,488.790,536.312,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1 [iso]","64x16, smstart/call",1.870167,1.871554,1.854083,0.009786,162,489.444,535.595,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"SME 2x2","32x32 tile",1.924771,1.925279,1.910416,0.009456,156,488.644,536.472,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"SME 2x2 [iso]","32x32, smstart/call",1.918417,1.921801,1.911417,0.012730,157,487.031,538.249,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4","16x64 tile",1.806041,1.806731,1.799791,0.006241,167,486.672,538.646,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4 [iso]","16x64, smstart/call",1.804167,1.808229,1.800750,0.009863,167,486.167,539.205,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4sym","16x64 tile",1.964541,1.967309,1.960792,0.007176,153,485.912,539.489,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4sym [iso]","16x64, smstart/call",1.968396,1.970232,1.961625,0.008582,152,486.865,538.433,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1ZP","64x16 tile",1.741792,1.744295,1.736750,0.007133,173,486.398,538.949,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1ZP [iso]","64x16, smstart/call",1.742708,1.746806,1.737667,0.009854,173,486.654,538.666,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc","16x64 tile",1.728083,1.752544,1.720000,0.047294,175,182.249,1438.385,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc [iso]","16x64, smstart/call",1.806125,1.803423,1.724792,0.055736,161,190.479,1376.233,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc [amort]","16x64, zero+store amort",1.415125,1.434098,1.339750,0.063477,201,149.243,1756.488,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc","16x64 tile",1.649292,1.651203,1.592166,0.045416,179,187.911,1395.046,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc [iso]","16x64, smstart/call",1.722125,1.704548,1.596666,0.048933,187,196.209,1336.046,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc [amort]","16x64, zero+store amort",1.341291,1.351082,1.240000,0.072730,201,152.819,1715.391,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"KAI 2VL","32x32 tile",1.622375,1.631900,1.584792,0.030517,177,193.278,1356.306,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,16,128,"KAI 8VS","16x16 tile",1.861791,1.864252,1.851084,0.011486,162,106.049,617.980,NA,NA,3.337860e-06,2.031063e-07,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1","64x16 tile",1.918042,1.918435,1.911125,0.004311,157,617.329,849.284,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1 [iso]","64x16, smstart/call",1.918875,1.919661,1.911833,0.007153,157,617.597,848.916,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,256,"SME 2x2","32x32 tile",1.820834,1.821049,1.815375,0.005202,165,617.441,849.130,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,256,"SME 2x2 [iso]","32x32, smstart/call",1.821625,1.822155,1.814625,0.006132,165,617.709,848.762,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4","16x64 tile",1.949500,1.950324,1.942542,0.005476,154,617.321,849.295,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4 [iso]","16x64, smstart/call",1.950208,1.952843,1.943208,0.008575,154,617.545,848.987,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4sym","16x64 tile",1.799916,1.799871,1.792666,0.004745,167,617.467,849.095,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4sym [iso]","16x64, smstart/call",1.800709,1.801724,1.793417,0.006750,167,617.739,848.721,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1ZP","64x16 tile",1.885459,1.885234,1.878166,0.004186,160,617.374,849.223,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
