impl,M,K,N,iters,wall_s,gflop,gflops,cpu_w,pcluster_w,ecluster_w,cpu_j,j_per_gflop,samples
sme-4x1,1024,1024,1024,1752,3.0003,3762.3914,1254.01,8.7697,0,0,26.3119,0.006993,28
sme-1x4sym,1024,1024,1024,1745,3.0001,3747.3590,1249.08,8.7391,0,0,26.2181,0.006996,28
sme-1x4acc,1024,1024,1024,2450,3.0010,5261.3349,1753.17,10.7655,0,0,32.3072,0.006140,28
sme-1x4acckc,1024,1024,1024,2408,3.0010,5171.1406,1723.12,10.6728,0,0,32.0291,0.006194,28
kleidiai-fullpack,1024,1024,1024,2278,3.0010,4891.9678,1630.12,10.0515,0,0,30.1645,0.006166,28
kleidiai-panel,1024,1024,1024,2397,3.0007,5147.5183,1715.43,10.3380,0,0,31.0212,0.006026,28
accelerate,1024,1024,1024,2324,3.0008,4990.7520,1663.14,10.5453,0,0,31.6443,0.006341,28
sme-4x1,2048,2048,2048,221,3.0129,3796.7511,1260.18,8.5947,0,0,25.8951,0.006820,28
sme-1x4sym,2048,2048,2048,220,3.0095,3779.5712,1255.90,8.5399,0,0,25.7007,0.006800,28
sme-1x4acc,2048,2048,2048,275,3.0059,4724.4640,1571.73,10.0645,0,0,30.2528,0.006403,28
sme-1x4acckc,2048,2048,2048,277,3.0080,4758.8238,1582.06,10.1023,0,0,30.3876,0.006386,28
kleidiai-fullpack,2048,2048,2048,278,3.0039,4776.0036,1589.94,9.7127,0,0,29.1760,0.006109,28
kleidiai-panel,2048,2048,2048,276,3.0036,4741.6439,1578.67,9.7396,0,0,29.2538,0.006170,31
accelerate,2048,2048,2048,291,3.0040,4999.3419,1664.22,10.2991,0,0,30.9384,0.006188,28
sme-4x1,4096,4096,4096,28,3.0990,3848.2907,1241.79,8.5210,0,0,26.4066,0.006862,32
sme-1x4sym,4096,4096,4096,30,3.0536,4123.1686,1350.29,9.0759,0,0,27.7143,0.006722,32
sme-1x4acc,4096,4096,4096,27,3.0306,3710.8517,1224.46,8.4152,0,0,25.5032,0.006873,32
sme-1x4acckc,4096,4096,4096,25,3.0884,3435.9738,1112.54,8.1202,0,0,25.0784,0.007299,32
kleidiai-fullpack,4096,4096,4096,35,3.0315,4810.3634,1586.79,9.5835,0,0,29.0523,0.006040,31
kleidiai-panel,4096,4096,4096,34,3.0751,4672.9244,1519.58,8.6237,0,0,26.5187,0.005675,61
accelerate,4096,4096,4096,35,3.0409,4810.3634,1581.88,9.9455,0,0,30.2433,0.006287,31
sme-4x1,128,32768,512,607,3.0031,2607.0451,868.11,7.1722,0,0,21.5388,0.008262,28
sme-1x4sym,128,32768,512,608,3.0002,2611.3401,870.38,7.2017,0,0,21.6066,0.008274,28
sme-1x4acc,128,32768,512,501,3.0044,2151.7786,716.21,6.4271,0,0,19.3095,0.008974,28
sme-1x4acckc,128,32768,512,504,3.0034,2164.6635,720.75,6.5043,0,0,19.5349,0.009024,28
kleidiai-fullpack,128,32768,512,362,3.0025,1554.7782,517.83,5.5430,0,0,16.6429,0.010704,28
kleidiai-panel,128,32768,512,746,3.0020,3204.0456,1067.32,8.2032,0,0,24.6261,0.007686,30
accelerate,128,32768,512,792,3.0035,3401.6141,1132.57,8.9453,0,0,26.8673,0.007898,28
